timestamp,type,advances,declines,unchanged,advance_decline_ratio,market_sentiment,sector,change_percent,volume
2025-10-28T11:47:45.261915,sector_performance,,,,,,Metal,1.011390282568958,0.0
2025-10-28T11:47:45.261915,sector_performance,,,,,,Realty,-1.0256934081073876,0.0
2025-10-28T11:47:45.261915,sector_performance,,,,,,Energy,-0.2573083927802254,0.0
2025-10-28T11:48:59.581034,market_breadth,0.0,0.0,0.0,inf,bearish,,,
2025-10-28T11:48:59.581034,sector_performance,,,,,,Banking,-0.7966289242799055,2716669.0
2025-10-28T11:48:59.581034,sector_performance,,,,,,IT,-1.0550162500731846,3228362.0
2025-10-28T11:48:59.581034,sector_performance,,,,,,Pharma,-3.147595763138618,1000296.0
2025-10-28T11:48:59.581034,sector_performance,,,,,,Auto,-0.0021981951457406964,0.0
2025-10-28T11:48:59.581034,sector_performance,,,,,,FMCG,-0.7462594182366177,0.0
2025-10-28T11:48:59.581034,sector_performance,,,,,,Metal,1.0070887176764458,0.0
2025-10-28T11:48:59.581034,sector_performance,,,,,,Realty,-0.9995277273490071,0.0
2025-10-28T11:48:59.581034,sector_performance,,,,,,Energy,-0.25354529843901397,0.0
2025-10-28T11:51:16.778851,market_breadth,0.0,0.0,0.0,inf,bearish,,,
2025-10-28T11:51:16.778851,sector_performance,,,,,,Banking,-0.7627377451730933,2737438.0
2025-10-28T11:51:16.778851,sector_performance,,,,,,IT,-1.029891568120324,3301036.0
2025-10-28T11:51:16.778851,sector_performance,,,,,,Pharma,-3.1901318277259367,1012276.0
2025-10-28T11:51:16.778851,sector_performance,,,,,,Auto,-0.012644992271589802,0.0
2025-10-28T11:51:16.778851,sector_performance,,,,,,FMCG,-0.7183742798327584,0.0
2025-10-28T11:51:16.778851,sector_performance,,,,,,Metal,1.0438712964319405,0.0
2025-10-28T11:51:16.778851,sector_performance,,,,,,Realty,-0.9628983295295358,0.0
2025-10-28T11:51:16.778851,sector_performance,,,,,,Energy,-0.2503275800892824,0.0
2025-10-28T11:52:31.460531,market_breadth,0.0,0.0,0.0,inf,bearish,,,
2025-10-28T11:52:31.460531,sector_performance,,,,,,Banking,-0.7729071679636905,2739440.0
2025-10-28T11:52:31.460531,sector_performance,,,,,,IT,-1.0550162500731846,3309652.0
2025-10-28T11:52:31.460531,sector_performance,,,,,,Pharma,-3.1901318277259367,1018500.0
2025-10-28T11:52:31.460531,sector_performance,,,,,,Auto,-0.05663753616550132,0.0
2025-10-28T11:52:31.460531,sector_performance,,,,,,FMCG,-0.7242182634516227,0.0
2025-10-28T11:52:31.460531,sector_performance,,,,,,Metal,1.0266743678052594,0.0
2025-10-28T11:52:31.460531,sector_performance,,,,,,Realty,-0.9576664709989904,0.0
2025-10-28T11:52:31.460531,sector_performance,,,,,,Energy,-0.23860199627246417,0.0
2025-10-28T11:53:45.791027,market_breadth,0.0,0.0,0.0,inf,bearish,,,
2025-10-28T11:53:45.791027,sector_performance,,,,,,Banking,-0.7525683223824962,2743440.0
2025-10-28T11:53:45.791027,sector_performance,,,,,,IT,-1.0550162500731846,3312414.0
2025-10-28T11:53:45.791027,sector_performance,,,,,,Pharma,-3.275203956900574,1038019.0
2025-10-28T11:53:45.791027,sector_performance,,,,,,Auto,-0.0571888750131301,0.0
2025-10-28T11:53:45.791027,sector_performance,,,,,,FMCG,-0.7445788406988851,0.0
2025-10-28T11:53:45.791027,sector_performance,,,,,,Metal,1.0090015610668255,0.0
2025-10-28T11:53:45.791027,sector_performance,,,,,,Realty,-0.9942958688184617,0.0
2025-10-28T11:53:45.791027,sector_performance,,,,,,Energy,-0.24334676739833946,0.0
2025-10-28T11:55:01.268615,market_breadth,0.0,0.0,0.0,inf,bearish,,,
2025-10-28T11:55:01.268615,sector_performance,,,,,,Banking,-0.8000221803076938,2745627.0
2025-10-28T11:55:01.268615,sector_performance,,,,,,IT,-1.0801313497674818,3318716.0
2025-10-28T11:55:01.268615,sector_performance,,,,,,Pharma,-3.2326678923132555,1029361.0
2025-10-28T11:55:01.268615,sector_performance,,,,,,Auto,-0.1059501419267918,0.0
2025-10-28T11:55:01.268615,sector_performance,,,,,,FMCG,-0.7523662082194074,0.0
2025-10-28T11:55:01.268615,sector_performance,,,,,,Metal,0.9784240596508547,0.0
2025-10-28T11:55:01.268615,sector_performance,,,,,,Realty,-1.0361635132741323,0.0
2025-10-28T11:55:01.268615,sector_performance,,,,,,Energy,-0.267637814058855,0.0
2025-10-28T11:56:13.947169,market_breadth,0.0,0.0,0.0,inf,bearish,,,
2025-10-28T11:56:13.947169,sector_performance,,,,,,Banking,-0.810191603098291,2764403.0
2025-10-28T11:56:13.947169,sector_performance,,,,,,IT,-1.1303711314146394,3330682.0
2025-10-28T11:56:13.947169,sector_performance,,,,,,Pharma,-3.2326678923132555,1042301.0
2025-10-28T11:56:13.947169,sector_performance,,,,,,Auto,-0.12354286333749176,0.0
