Price,close,high,low,open,volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2010-01-04,218.5930938720703,221.76376542820617,207.68885732873463,221.76376542820617,76646086
2010-01-05,217.61749267578125,233.71474007258507,216.54028253029978,233.71474007258507,21392825
2010-01-06,221.13369750976562,222.45481176562942,217.60733879271046,219.4873823501729,23691760
2010-01-07,224.8022918701172,226.62136263819846,219.10118908571658,221.13367759149628,26197920
2010-01-08,224.21292114257812,226.37751742460992,222.75969937170632,225.19867249877913,15110149
2010-01-11,219.8125762939453,233.6740930860171,213.4102744375723,230.6253533654892,188649642
2010-01-12,220.39183044433594,231.15381059593588,218.89796045896998,222.5564264264373,32790509
2010-01-13,221.25563049316406,221.94666711176538,217.19066690840523,221.13368524886295,15360176
2010-01-14,227.98318481445312,228.61323534881137,220.7272244829172,220.7272244829172,24545629
2010-01-15,225.75759887695312,231.4790269364477,224.59909174474717,228.81647395883226,18766617
2010-01-18,223.47105407714844,226.91610246583943,221.93652203173963,224.9954104505233,14172193
2010-01-19,220.52395629882812,224.80231070383877,220.04631026671518,223.5726689615741,13064666
2010-01-20,218.9995880126953,222.9832549930597,217.88172940830188,222.556433046322,19331024
2010-01-21,214.23341369628906,218.89795497442623,213.4610802468286,218.49145725849675,18611321
2010-01-22,214.19277954101562,217.6784898858188,209.2436990295434,211.58105087607228,39869565
2010-01-25,211.7944793701172,214.30458727922078,210.7071069409514,213.339160116676,13393277
2010-01-27,208.84735107421875,213.41027134993652,207.31283269978488,210.15830316535153,24843485
2010-01-28,210.79855346679688,212.6887592582738,208.3290941254462,211.37780701667066,33223459
2010-01-29,212.63790893554688,213.77609161236305,206.9266442102427,209.93470811865745,23333042
2010-02-01,212.475341796875,214.4265200963251,210.47333940826863,210.86967504426238,12132865
2010-02-02,208.79653930664062,214.70088438197942,208.1461375330761,213.8167542227251,17248998
2010-02-03,210.14813232421875,213.08506160175415,209.5688652973538,209.5688652973538,15052266
2010-02-04,207.14007568359375,210.9712975793556,206.09335179623542,210.9712975793556,11974603
2010-02-05,199.5284423828125,204.82304801268222,198.16669325955817,198.16669325955817,29882876
2010-02-08,202.09954833984375,204.1320236100008,198.1667051645234,200.19918043468044,25894932
2010-02-09,201.8759765625,202.84140371131838,199.7317180513106,201.97759761657267,14292031
2010-02-10,200.21951293945312,203.2275775493099,199.58943526825314,203.2275775493099,18261247
2010-02-11,206.32708740234375,207.27219021665212,200.9105231184246,201.0629682471455,23450102
2010-02-15,205.28036499023438,208.7355891696493,204.79257039129575,208.7355891696493,13498617
2010-02-16,206.8555145263672,207.51606480831902,204.26409677992916,205.3006584514799,10068256
2010-02-17,209.86358642578125,210.9306344474846,207.72949038237454,208.32906806715738,15630122
2010-02-18,202.8007354736328,211.04244636976483,202.23164405886888,209.3453206623247,19834114
2010-02-19,199.83331298828125,202.23163738876866,198.60365769201903,202.23163738876866,17754534
2010-02-22,198.76626586914062,203.2478758973911,197.15043704263255,202.29261097428957,12692045
2010-02-23,198.23782348632812,199.79266612521053,197.15043763872018,197.963433106496,12976934
2010-02-24,198.93905639648438,200.3414677137735,196.4695968242652,197.15047148732174,12487589
2010-02-25,195.748046875,200.19918463378352,194.94522699563592,199.20327118781512,18954063
2010-02-26,198.96949768066406,202.23162791010543,196.38825552773582,196.94718479345337,22579233
2010-03-02,199.83331298828125,203.04463285022405,199.0609659431424,200.19916230269237,18210596
2010-03-03,208.2884521484375,208.93884045309886,200.8089255907948,200.8089255907948,26623966
2010-03-04,206.09335327148438,211.37779683561857,204.87387360075638,211.37779683561857,20781218
2010-03-05,205.23973083496094,208.53234799852194,204.2844657803341,207.71936598883136,11774505
2010-03-08,204.08119201660156,208.73557130151778,203.65437008312156,207.55672654058208,11941298
2010-03-09,201.28651428222656,205.64617860073062,200.81904397415056,204.56896854181318,17459521
2010-03-10,205.02630615234375,207.08926763856292,201.07313895661207,202.23164600612364,24807175
2010-03-11,206.59130859375,207.3128451410097,204.67061659260634,205.28035642394457,14583772
2010-03-12,207.63803100585938,209.95505862955105,206.09335044591913,206.29660609996225,22333253
2010-03-15,208.94898986816406,209.7416611659876,205.9104391724454,207.71934807039182,18131701
2010-03-16,217.05859375,217.84110299264432,209.14209664618005,209.75183653128937,33998717
2010-03-17,217.41424560546875,220.01581197458614,216.6215743865872,218.45080731166053,21599472
2010-03-18,218.88778686523438,219.83288961938268,216.27605844581927,218.28820919528044,15292424
2010-03-19,221.9568634033203,222.8613042834732,217.5057258971921,219.2638242694445,19737747
2010-03-22,218.27806091308594,223.36941072970242,215.8492502016269,215.8492502016269,20468483
2010-03-23,221.82473754882812,222.34301844130812,218.88780796892047,219.09105005712337,20005544
2010-03-25,221.83489990234375,222.96293419582443,218.97926715451058,222.75967853983067,22967888
2010-03-26,223.66415405273438,225.80842612563114,222.5869437473782,222.9629552139841,18075516
2010-03-29,222.21092224121094,225.5949981526424,221.7434518473099,224.3246943349043,20249784
2010-03-30,221.16416931152344,224.7311626439997,220.11744550679015,222.7596602775945,18938795
2010-03-31,218.33901977539062,222.55641480826768,217.73944210526378,222.12959289650718,21647708
2010-04-01,221.9568634033203,223.26780203646985,218.89797493499128,219.10121702770812,12519976
2010-04-05,228.83677673339844,229.59897525750677,222.8612966027089,222.8612966027089,19912935
2010-04-06,228.2880096435547,230.27983623635902,227.67825628724023,229.2635987325838,12481837
2010-04-07,229.60911560058594,233.674092845396,228.2676907476292,228.65385069670225,20218574
2010-04-08,224.90391540527344,230.9911913846419,223.8775158833256,230.27981705073,14723428
2010-04-09,228.59286499023438,229.87334428149225,225.23927591465267,225.23927591465267,16826518
2010-04-12,229.1315155029297,232.7188608023454,228.17625046415878,232.7188608023454,12699784
2010-04-13,227.82054138183594,230.48309413589436,225.86937663736532,229.26361447465487,13971281
2010-04-15,221.68247985839844,230.666024850119,220.94061906193988,228.65387379981482,24286918
2010-04-16,220.37152099609375,222.5564413324608,217.70898174143855,220.74753243550057,18193722
2010-04-19,215.80859375,219.4670460533009,213.6135115139701,219.4670460533009,16389189
2010-04-20,216.0931396484375,219.45689105345485,214.29439296586693,217.44474018637152,16748550
2010-04-21,214.24356079101562,218.22722727399653,213.0342433992177,217.47520451707624,19187549
2010-04-22,218.64393615722656,222.33287534645342,213.42046480061413,213.5119237481252,25598349
2010-04-23,221.1743621826172,222.7596912656345,219.5077226920197,219.5077226920197,23235165
2010-04-26,217.7293243408203,223.12555160598674,216.15414371763734,219.50773350649422,16652152
2010-04-27,215.6968231201172,217.06874798756007,214.42653286947856,216.05251036002386,13970196
2010-04-28,206.75393676757812,214.21312566319065,205.68687499523216,214.21312566319065,40110291
2010-04-29,210.37173461914062,211.35748594934705,207.14009022315224,208.12584155335864,23447044
2010-04-30,210.07701110839844,212.8411712389188,209.34531248402752,211.37778755773905,15821019
2010-05-03,208.0750274658203,209.8737743086741,206.92668247360976,208.5323357552312,12535244
2010-05-04,207.54652404785156,211.17450299264186,205.99168174332405,208.16642583575614,17348783
2010-05-05,207.4449462890625,208.03436189396623,203.91860119617002,205.2803502796352,14976570
2010-05-06,204.8433837890625,207.98355541998765,204.06087462362242,207.2721945521387,23863448
2010-05-07,209.91441345214844,215.442761100498,198.36993714036723,198.36993714036723,72063684
2010-05-10,221.00863647460938,221.54098854577592,212.94142985537545,215.19369913179267,38050844
2010-05-11,218.63356018066406,222.97428943404307,217.72241502513717,222.97428943404307,26325489
2010-05-12,221.73550415039062,223.0663774563743,217.86570421690706,220.32271896293423,15294301
2010-05-13,219.45254516601562,223.87517215339668,217.44598406073484,217.44598406073484,11947698
2010-05-14,213.68878173828125,219.28873635159582,211.91767812052765,218.61304872418697,18161695
2010-05-17,208.1400146484375,211.85625561571985,206.59414478734567,211.85625561571985,20611809
2010-05-18,208.9692840576172,211.6003329226411,206.34845880297385,208.84643671791062,15445191
2010-05-19,204.47500610351562,208.38575595668436,203.7481319713453,208.23218310643585,26097480
2010-05-20,204.7411346435547,207.4131458922038,203.47167131833777,204.95613112398257,18577281
2010-05-21,203.8402557373047,204.72068900107192,199.85784516181732,202.68341596128639,19167407
2010-05-24,209.3889923095703,214.77395017731698,208.11952900056502,208.43689824479787,24726303
2010-05-25,201.81321716308594,209.8701873737828,201.21944136600496,209.8701873737828,25245934
2010-05-26,206.39967346191406,206.79892734420122,202.90865196822543,203.7071870686583,13726569
2010-05-27,209.30711364746094,210.42300424294828,205.07899498264422,207.0036578452797,27405100
2010-05-28,212.25552368164062,212.73668937933317,207.7202731898997,210.8836875291664,17535288
2010-05-31,214.0880584716797,214.68183423967747,210.6379865812999,210.92464402167505,16548811
2010-06-01,206.91151428222656,213.96518963247826,205.5908645180591,213.61712220726,19466130
2010-06-02,207.01388549804688,209.05115831968635,205.43730381542443,207.82265772759217,19728249
2010-06-03,211.05775451660156,212.53196367378442,208.82597305710573,208.82597305710573,17106958
2010-06-04,211.13963317871094,212.12243912879103,209.34805499148666,211.09867040185796,14088022
2010-06-07,206.3382110595703,207.8226710107822,204.7513919983894,207.8226710107822,13503377
2010-06-08,204.0142822265625,207.35173026349415,203.74809935189475,206.73746629669992,15226706
2010-06-09,206.19488525390625,207.82266706325422,204.75138810919944,204.79233721958028,15242486
2010-06-10,207.8943328857422,208.3243122227601,206.21536464901246,206.7989031535626,13962908
2010-06-11,214.25186157226562,215.16300664172022,209.05117404901156,209.87018361731572,23307069
2010-06-14,217.7531280517578,219.08401531626694,214.80470971273797,215.99227507224631,15892958
2010-06-15,218.28549194335938,219.0635525195662,215.00948050273982,218.10122091275085,18992836
2010-06-16,216.6167449951172,219.62658676094165,216.03320647609866,219.08399735428034,11833071
2010-06-17,219.3706512451172,220.5172537083495,216.68840242172266,217.71215754987892,21047804
2010-06-18,215.879638671875,223.13808769333374,215.10159185101293,221.1724619147016,38277934
2010-06-21,218.193359375,219.43211121238872,217.2412650348038,217.2412650348038,11792906
2010-06-22,217.8145294189453,220.06679889223437,216.41198134557072,217.65073297286165,12908863
