Price,close,high,low,open,volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2010-01-04,69.60720825195312,70.53764351624348,69.07057434880271,69.37459632243251,6100980
2010-01-05,69.6684341430664,70.39482663863502,69.57865473557838,69.78269771134254,16773200
2010-01-06,69.71536254882812,70.19077991715318,68.8889848049443,69.9459258685438,13279680
2010-01-07,69.8969497680664,72.16590628857855,69.43989557023559,72.16590628857855,12247960
2010-01-08,69.98875427246094,70.32950241452828,69.41539424495325,69.86428487054245,14171800
2010-01-11,69.70719909667969,71.35994835778679,69.47662955003389,71.35994835778679,27533220
2010-01-12,69.17871856689453,69.85613638003376,68.50129452685907,69.70106798340721,9814100
2010-01-13,68.93794250488281,69.16239097705176,67.96873857101815,68.76042614908889,20693500
2010-01-14,68.7135009765625,69.93775859000749,68.15034048177101,69.78268396636433,20345280
2010-01-15,69.13585662841797,69.33377850068891,68.19114318334682,69.30929434773093,23163460
2010-01-18,72.09449768066406,72.5576791938394,68.64413664146832,68.96652178453171,47002920
2010-01-19,72.60662841796875,72.99839354538474,71.5333607177157,72.02714730023116,33328440
2010-01-20,71.66395568847656,73.04736645779131,71.12936422634579,72.84332353472485,27304220
2010-01-21,69.85002136230469,71.8598456947815,69.58272559202011,71.8598456947815,25046940
2010-01-22,68.4400863647461,69.3746002995348,67.49740274184765,69.21136843664742,18947400
2010-01-25,67.60758972167969,68.47272982959842,66.57105428446933,67.74225881474382,12057580
2010-01-27,65.17947387695312,67.78714226605999,64.75914594046816,67.78714226605999,24215580
2010-01-28,65.0182876586914,66.06910765246458,64.34698457985698,65.7018328169176,34864460
2010-01-29,66.56085968017578,66.80367132787609,63.35534616370149,64.47758256917768,32870340
2010-02-01,65.28353881835938,66.43638014291591,64.68160967604155,66.43638014291591,15034660
2010-02-02,64.44084930419922,65.90179764916535,64.15110556034378,65.57940628438979,20669400
2010-02-03,66.22212982177734,66.6159374054375,64.3959493514839,65.29373698971325,15455340
2010-02-04,65.97728729248047,66.3098782880317,64.70201889045671,66.02829802856142,17210480
2010-02-05,64.20621490478516,65.21214542155784,63.865460347758976,65.21214542155784,18693880
2010-02-08,63.96339797973633,64.83873791297142,63.212515053099665,64.68162705423899,15181200
2010-02-09,64.13681030273438,64.3918639606837,63.31451755858159,63.93888841508986,23947500
2010-02-10,65.030517578125,66.00584249097541,63.82462316834852,64.273520085098,27733360
2010-02-11,65.2121353149414,66.64043612372406,64.88566531326876,65.45698314602288,14539380
2010-02-15,65.8569107055664,66.0976799146719,64.57959972627219,65.17132309133885,9604980
2010-02-16,65.55492401123047,66.22010607445696,64.88566333035801,65.497792229701,14349700
2010-02-17,67.57698822021484,67.78103117960994,65.90179726711222,66.02830290563367,24796680
2010-02-18,68.71144104003906,68.96649464449355,67.36475676314043,67.9422016106864,20008840
2010-02-19,69.12567138671875,69.37460403852108,67.58310715977866,68.15034632019423,14691980
2010-02-22,69.23585510253906,70.17853253270427,68.9665169148071,69.41541389436037,13280340
2010-02-23,69.41542053222656,69.73576326105774,68.65433801630877,68.76452296308042,12945780
2010-02-24,69.39500427246094,69.78268460823857,68.8644913897091,68.9665128584346,11211380
2010-02-25,69.00936126708984,69.5378317365546,68.64004404237936,69.415410953587,11673940
2010-02-26,69.57046508789062,70.79268628698519,68.55841405255028,68.96649985048212,18702060
2010-03-02,71.20893859863281,71.65987794748582,69.61944869188424,70.35399824238408,15429300
2010-03-03,72.50257873535156,72.68010133257131,71.111010547801,71.111010547801,22295920
2010-03-04,72.68621826171875,72.92494501282721,71.54153413814637,72.43524320554924,27028840
2010-03-05,72.80252838134766,73.25142540102648,72.27202164686913,72.86578120318006,20899300
2010-03-08,72.8106918334961,73.86355429386279,72.3495527339715,73.86355429386279,14745920
2010-03-09,73.91251373291016,74.06758836230863,72.43524481713378,72.43524481713378,24795380
2010-03-10,74.04513549804688,74.26754152542043,70.59476910081663,73.94515023664371,29921120
2010-03-11,74.55525207519531,74.88375821633495,73.58196327610725,74.10839754300063,15490460
2010-03-12,73.5064697265625,74.69603733650146,72.89841951878637,74.55728963063997,14944880
2010-03-15,73.96759033203125,74.27161224669847,72.6392691203974,72.6392691203974,15025920
2010-03-16,73.6431884765625,73.85947351781263,71.98635439696581,73.65950917366379,20872500
2010-03-17,73.7696762084961,74.46749948104677,73.37791107730085,73.64317059925565,9589680
2010-03-18,73.4921875,73.96149001643461,73.06778090808797,73.96149001643461,7003940
2010-03-19,74.26549530029297,74.46749578069445,73.35954431713598,74.05940997663798,12679680
2010-03-22,74.96946716308594,75.69993822063638,73.37384972015256,73.53708159752452,30611220
2010-03-23,76.88337707519531,77.12823109323395,74.88375875983297,74.88375875983297,20308760
2010-03-25,78.60348510742188,78.76059597169247,76.32024349806993,76.7201660242393,46592800
2010-03-26,79.63591766357422,80.2133564212257,78.0709056355011,78.80138281902903,23105720
2010-03-29,80.19091033935547,81.20908252208856,66.47106010309338,66.47106010309338,26453420
2010-03-30,77.81584930419922,80.38883382621198,77.59344326319601,80.18886951804679,18739960
2010-03-31,78.90341186523438,79.28700738360419,77.42410046630769,77.53632159891586,13652160
2010-04-01,79.1380615234375,79.57675263231319,78.60142755425456,79.57675263231319,14818440
2010-04-05,79.51553344726562,79.9685090074101,78.53204501616604,79.93586139091636,14247680
2010-04-06,78.87892150878906,79.57675114326454,78.57285708131496,79.57675114326454,8842880
2010-04-07,78.83199310302734,79.49309025269761,78.59734496148728,79.16866271714103,10756100
2010-04-08,77.65058898925781,78.75650458126235,77.2833141490377,78.75650458126235,12477660
2010-04-09,79.55022430419922,79.86240977013033,77.14864101278916,77.14864101278916,12415300
2010-04-12,79.7481460571289,80.30722174910885,79.11561166495419,79.11561166495419,9141280
