Price,close,high,low,open,volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-02-25,301.9336853027344,303.3325249726995,299.9634818097312,303.3325249726995,2672984
2010-02-26,300.18035888671875,306.7805440953315,294.01363310708956,302.26877088892655,3015934
2010-03-02,300.7319641113281,303.0173960988843,297.50082451841047,300.2591103086474,4053352
2010-03-03,302.9189147949219,304.9876293349848,301.1063364371003,303.01742501111534,2754742
2010-03-04,301.0078430175781,303.4114828066871,298.28895127878195,302.6234010331632,2053606
2010-03-05,300.4953918457031,302.20948311353243,299.5300114877641,301.44109903142504,1287312
2010-03-08,300.5349426269531,303.4114358450256,299.5892350249611,302.4657282430336,3015740
2010-03-09,302.8991394042969,306.7607340725995,300.6531022445645,300.6531022445645,3457732
2010-03-10,307.3714904785156,309.105279445193,299.470978039002,300.9289336632071,4587874
2010-03-11,311.92266845703125,313.2230222572513,304.1797816439101,307.3715023072821,3214030
2010-03-12,314.03082275390625,315.232642392961,312.0803159690314,315.232642392961,2510976
2010-03-15,322.32537841796875,323.1134600277926,311.7453924262199,314.03082428464074,6054434
2010-03-16,326.65985107421875,327.82227634347805,321.4585072603144,323.70454482203945,3088856
2010-03-17,331.2701110839844,333.31912808939524,327.05386964119214,328.6300328683786,4174794
2010-03-18,325.4185485839844,332.9644386783089,323.3104401604171,332.9644386783089,3724554
2010-03-19,323.4680480957031,328.8072952302621,317.30130098970784,317.30130098970784,4716624
2010-03-22,326.10809326171875,328.55115055833465,317.65593897997815,321.1037953118005,3310110
2010-03-23,326.5218505859375,328.2359180890771,323.9408646428068,327.0537959350948,1694964
2010-03-25,326.9750671386719,329.7333528745615,322.3253902796694,324.7290296579503,5517582
2010-03-26,325.1033630371094,329.41811468425027,324.0197508177533,327.0538698420188,1997806
2010-03-29,319.94146728515625,326.7780662910949,318.6017187988133,324.6896546332557,3443266
2010-03-30,315.23260498046875,321.576651535565,314.1095984453615,318.62134586387316,3097160
2010-03-31,307.6080017089844,318.0894787852703,306.28795042039314,315.2326825992149,7083046
2010-04-01,318.3061218261719,319.0942033479254,308.1792694615715,309.8539426952977,5781432
2010-04-05,316.5525817871094,321.9312468783444,314.937024562444,321.9312468783444,3001836
2010-04-06,313.6761474609375,318.7395857422593,312.1394029013079,318.7395857422593,3702366
2010-04-07,314.4642333984375,318.7789846634684,307.80495877942946,311.29220999275657,3024558
2010-04-08,315.01593017578125,318.1879538843118,311.29223971344436,313.6564845720275,4494438
2010-04-09,311.92266845703125,318.345552341894,310.60264147843253,316.02070214488157,3018012
2010-04-12,314.4838562011719,315.23254311119473,311.33153077005994,311.6861770011938,2869882
2010-04-13,323.4483642578125,324.6107893674968,310.2086036857101,315.23262362472923,8404916
2010-04-15,323.7833251953125,328.984668485465,322.7391074712196,323.90153262342795,4290952
2010-04-16,321.1825866699219,326.26572166380447,319.9019543083188,322.7193551239805,3810958
2010-04-19,319.94146728515625,325.0836954762572,315.5282050334703,319.17308283123435,6947704
2010-04-20,311.0951843261719,328.0980529756609,310.1100824125361,325.0836314997996,12016986
2010-04-21,309.32196044921875,314.8385304444914,307.4502670579655,313.26236758869925,7107490
2010-04-22,309.69635009765625,312.7304688573578,307.74584346282387,310.93756410139315,4751116
